Feat Name|In-Game|Prerequisite|Description
Remove Disease|"Yes"|6th-level Paladin|can cure diseases
Resist Nature's Lure|"Yes"|4th-level Druid|+4 to spells and spell like abilities from fey creatures
Ride-By Attack|"No"|ask staff|ask staff
Riposte|"Yes"|5th-level Duelist|allows you to gain an attack of opportunity after a successful parry
Robilars Gambit|"No"|combat reflexes, base attack bonus +12|when active enemies gain +4 to hit and damage against you, but all melee attacks invoke an attack of opportunity from you.
Run|"Yes"|ask staff|ask staff
Sacred Flames|"Yes"|sacred fist level 5|allows you to use "innate 'flame weapon'" 3 times per 10 minutes
Scavenge|"Yes"|5th-level Artisan|Can find materials on corpses
Scribe Scroll|"No"|Caster level 1st|Create magic scrolls
Self Concealment|"No"|Epic level, stealth 30 ranks, dex 30, tumble 30 ranks|10%% miss chance for attacks against you per rank
Self Sufficient|"Yes"|-|You get a +2 bonus on all Heal checks and Survival checks.
Shot on the Run|"No"|ask staff|ask staff
Silent Spell|"No"|ask staff|ask staff
Skill Focus|"Yes"|-|+3 bonus on one skill
Sleep & Paralysis Immunity|"Yes"|10th-level Dragon Disciple|ask staff
Slippery Mind|"Yes"|11th-level Rogue|extra chance for will saves
Slow Fall|"Yes"|-|no damage for falling 10 ft/feat rank
Smite Evil|"Yes"|5th-level Paladin|add level to hit roll and charisma bonus to damage
Smite Good|"No"|ask staff|ask staff
Sneak Attack|"Yes"|-|+1d6 to damage when flanking
Sneak Attack of Opportunity|"Yes"|sneak attack +8d6, opportunist feat|makes all opportunity attacks sneak attacks
Song of Freedom|"Yes"|12t-level Bard|ask staff
Spell Focus|"No"|Caster level 1st|Add +1 to the Difficulty Class for all saving throws against spells from the school of magic you select.
Spell Mastery|"No"|ask staff|ask staff
Spell Penetration|"No"|-|+2 bonus on level checks to beat spell resistance
Spirited Charge|"No"|ask staff|ask staff
Spring Attack|"Yes"|Mobility, base attack bonus +4|free attack of opportunity against combat abilities (ie. kick, trip)
Steadfast Determination|"Yes"|Endurance|allows you to use your con bonus instead of your wis bonus for will saves
Stealthy|"Yes"|-|+2 bonus on Escape Artist and Stealth checks
Still Mind|"Yes"|3rd-level Monk|A Monk gains a +2 bonus vs. enchantment spells and effects
Still Spell|"No"|ask staff|ask staff
Strength Boost|"Yes"|ask staff|ask staff
Stunning Fist|"Yes"|Dex 13, Wis 13, Improved Unarmed Strike, base attack bonus +8|Stun opponent with an unarmed strike
Suggestion|"Yes"|6th-level Bard|ask staff
Summon Familiar|"Yes"|-|summon a magical pet
Summon Greater Undead|"Yes"|8th-level Death Master|allows innate use of summon greater undead spell 3x per day
Summon Undead|"Yes"|4th-level Death Master|allows innate use of summon undead spell 3x per day
Sunder|"No"|ask staff|ask staff
Superior Weapon Focus|"Yes"|5th-level Weapon Master|Weapons of choice have +1 to hit
Swarm of Arrows|"No"|Epic level, dex 23, point blank shot, rapid shot, weapon focus|allows you to make a single ranged attack against everyone in range.
Swift Tracker|"Yes"|8th-level Ranger|ask staff
Timeless Body|"Yes"|15th-level Druid, 16th-level Monk|immune to negative agining effects
Tireless Rage|"Yes"|17th-level Barbarian|no fatigue after raging
Tongue of the Sun and Moon|"Yes"|17th-level Monk|A monk of 17th level or higher can speak with any living creature
Touch of Undeath|"Yes"|9th-level Death Master|allows for paralytic or instant death touch
Toughness|"Yes"|-|+3 hit points, +1 per Hit Die beyond 3
Track|"No"|-|use survival skill to track others
Trackless Step|"Yes"|3rd-level Druid|cannot be tracked
Trample|"No"|Mounted Combat|ask staff
Trap Sense|"Yes"|ask staff|ask staff
Trapfinding|"Yes"|1st-level Rogue|A rogue adds 1/2 her level to Disable Device skill checks (minimum +1).
Turn Undead|"Yes"|-|Channel energy can be used to make undead flee
Two Weapon Defense|"Yes"|Two-Weapon Fighting|Gain +1 shield bonus when fighting with two weapons
Two-Weapon Fighting|"Yes"|Dex 15|Reduce two-weapon fighting penalties
Unarmed Strike|"Yes"|ask staff|ask staff
Uncanny Dodge|"Yes"|-|retains dex bonus when flat footed or against invis opponents
Undead Familiar|"Yes"|3rd-level Death Master|allows for undead familiars
Venom Immunity|"Yes"|9th-level Druid|A druid gains immunity to all poisons.
Weapon Finesse|"Yes"|-|Use Dex instead of Str on attack rolls with light weapons
Weapon Flurry|"Yes"|Weapon Mastery, base attack bonus +14|2nd attack at -5 to hit with standard action or extra attack at full bonus with full round action
Weapon Focus|"Yes"|Proficiency with weapon, base attack bonus +1|+1 to hit rolls for selected weapon
Weapon Mastery|"No"|Weapon Specialization, Base Attack Bonus +8|+2 to hit and damage with that weapon
Weapon Proficiency (Bastard Sword)|"No"|ask staff|ask staff
Weapon Proficiency (Deity)|"Yes"|1st-level Cleric|Clerics are proficient with the favored weapon of their deity
Weapon Proficiency (Druid)|"No"|ask staff|ask staff
Weapon Proficiency (Elf)|"No"|ask staff|ask staff
Weapon Proficiency (Exotic)|"Yes"|Base attack bonus +1|You understand how to use that type of exotic weapon in combat.
Weapon Proficiency (Martial)|"Yes"|-|You understand how to use martial weapons in combat.
Weapon Proficiency (Monk)|"No"|ask staff|ask staff
Weapon Proficiency (Rogue)|"No"|ask staff|ask staff
Weapon Proficiency (Simple)|"Yes"|-|You are trained in the use of basic weapons.
Weapon Proficiency (Wizard)|"No"|1st-level Wizard|ask staff
Weapon Specialization|"Yes"|Weapon Focus, 4th-level fighter|+2 bonus on damage rolls with one weapon
Weapon Supremacy|"No"|Weapon Mastery, greater weapon focus, greater weapon specialization, fighter level 18|+4 to resist disarm, ignore grapples, add +5 to hit roll when miss by 5 or less, can take 10 on attack rolls, +1 bonus to AC when wielding weapon
Weapons of Choice|"Yes"|1st-level Weapon Master|All weapons with weapon focus gain special abilities
Whirlwind Attack|"Yes"|Dex 13, Combat Expertise, Spring Attack, base attack bonus +4|allows you to attack everyone in the room or everyone you are fighting (with contain) as a standard action
Wholeness of Body|"Yes"|7th-level Monk|can heal class level *2 hp to self
Widen Spell|"No"|Caster level 1st|ask staff
Wild Empathy|"Yes"|2nd-level Ranger|ask staff
Wild Shape|"Yes"|4th-level Druid|ask staff
Wild Shape (Elemental)|"Yes"|ask staff|ask staff
Wild Shape (Huge Elemental)|"Yes"|ask staff|ask staff
Wild Shape (Huge)|"Yes"|ask staff|ask staff
Wild Shape (Large)|"Yes"|ask staff|ask staff
Wild Shape (Plant)|"Yes"|ask staff|ask staff
Wild Shape (Tiny)|"Yes"|ask staff|ask staff
Wings|"Yes"|9th-level Dragon Disciple|ask staff
Woodland Stride|"Yes"|2nd-level Druid, 7th-level Ranger|A druid or ranger may move through any sort of undergrowth at her normal speed and without taking damage or suffering any other impairment.
do not take me|"No"|placeholder feat|placeholder feat
